Name,NACA 2412 Airfoil M=2.0% P=40.0% T=12.0%
Chord(mm),200
Radius(mm),0
Thickness(%),100
Origin(%),100
Pitch(deg),0
,
Airfoil surface,
X(mm),Y(mm)
0.016800,0.251400
-0.288600,0.315000
-1.203200,0.504800
-2.721600,0.817200
-4.835000,1.246200
-7.531400,1.784400
-10.794600,2.422000
-14.605800,3.148000
-18.942600,3.950400
-23.779200,4.815800
-29.087000,5.730600
-34.834000,6.680800
-40.986200,7.652000
-47.506200,8.629800
-54.354400,9.600000
-61.489200,10.548200
-68.867000,11.460400
-76.442400,12.323000
-84.169000,13.121800
-91.998400,13.844000
-99.882400,14.476200
-107.771400,15.006800
-115.615800,15.424400
-123.393600,15.714800
-131.064000,15.839600
-138.542200,15.788200
-145.778800,15.560400
-152.725800,15.158800
-159.337400,14.589400
-165.569800,13.861800
-171.382400,12.988200
-176.737400,11.983600
-181.600800,10.865000
-185.942200,9.651400
-189.735200,8.361600
-192.957200,7.015200
-195.589800,5.630400
-197.618600,4.224000
-199.033400,2.809800
-199.828000,1.399400
-200.000000,0.000000
-199.555400,-1.337800
-198.504200,-2.565600
-196.855400,-3.680800
-194.621600,-4.681600
-191.818800,-5.565200
-188.466200,-6.330200
-184.585800,-6.975600
-180.202600,-7.501400
-175.343800,-7.909200
-170.039000,-8.202600
-164.319800,-8.386800
-158.219600,-8.469200
-151.773800,-8.458800
-145.019200,-8.366800
-137.994400,-8.205400
-130.739400,-7.988200
-123.295600,-7.728800
-115.671200,-7.434800
-107.920600,-7.088800
-100.117600,-6.698600
-92.309800,-6.274600
-84.544200,-5.827600
-76.868400,-5.366600
-69.329600,-4.900000
-61.974200,-4.434400
-54.847600,-3.976000
-47.994200,-3.529800
-41.456800,-3.099800
-35.276200,-2.689600
-29.491800,-2.302000
-24.139600,-1.940200
-19.254000,-1.606600
-14.866200,-1.304000
-11.004200,-1.034800
-7.692800,-0.801600
-4.953600,-0.607000
-2.804400,-0.453000
-1.259000,-0.341600
-0.327800,-0.274000
-0.016800,-0.251400
,
Camber line,
X(mm),Y(mm)
-200.000000,0.000000
-199.828000,0.699700
-199.033400,0.431152
-197.618600,0.529703
-195.589800,0.691289
-192.957200,0.904444
-189.735200,1.160481
-185.942200,1.450700
-181.600800,1.765663
-176.737400,2.095683
-171.382400,2.429951
-165.569800,2.757630
-159.337400,3.067649
-152.725800,3.349232
-145.778800,3.591627
-138.542200,3.785107
-131.064000,3.920841
-123.393600,3.991292
-115.615800,3.996037
-107.771400,3.962730
-99.882400,3.895186
-91.998400,3.793662
-84.169000,3.658367
-76.442400,3.491383
-68.867000,3.294841
-61.489200,3.072498
-54.354400,2.828055
-47.506200,2.566049
-40.986200,2.291717
-34.834000,2.010415
-29.087000,1.727982
-23.779200,1.450104
-18.942600,1.182638
-14.605800,0.931076
-10.794600,0.700980
-7.531400,0.497133
-4.835000,0.323849
-2.721600,0.185084
-1.203200,0.083625
-0.288600,0.021924
0.016800,0.125700
,
Chord line,
X(mm),Y(mm)
-200.000000,0.000000
0.000000,0.000000
